VARIABLE NAME,DESCRIPTION,VALUE/LINE REFERENCE,Type
  N19500,Number of returns with Home mortgage from personal seller,  Schedule A:8b,Num
  A19500,Home mortgage from personal seller amount,  Schedule A:8b,Num
  N19530,Number of returns with Deductible points,  Schedule A:8c,Num
  A19530,Deductible points amount,  Schedule A:8c,Num
  N19550,Number of returns with Qualified mortgage insurance premiums,  Schedule A:8d,Num
  A19550,Qualified mortgage insurance premiums amount,  Schedule A:8d,Num
  N19570,Number of returns with Investment interest paid,  Schedule A:9,Num
  A19570,Investment interest paid amount,  Schedule A:9,Num
  N19700,Number of returns with Total charitable contributions,  Schedule A:14,Num
  A19700,Total charitable contributions amount,  Schedule A:14,Num
  N20950,Number of returns with Other non-limited miscellaneous deductions,  Schedule A:16,Num
  A20950,Other non-limited miscellaneous deductions amount,  Schedule A:16,Num
  N04475,Number of returns with Qualified business income deduction,  1040:13,Num
  A04475,Qualified business income deduction,  1040:13,Num
  N04800,Number of returns with taxable income,  1040:15,Num
  A04800,Taxable income amount,  1040:15,Num
  N05800,Number of returns with income tax before credits,  1040:16,Num
  A05800,Income tax before credits amount,  1040:16,Num
  N09600,Number of returns with alternative minimum tax ,  Schedule 2:1,Num
  A09600,Alternative minimum tax amount,  Schedule 2:1,Num
  N05780,Number of returns with excess advance premium tax credit repayment,  Schedule 2:2,Num
  A05780,Excess advance premium tax credit repayment amount,  Schedule 2:2,Num
  N07100,Number of returns with total tax credits [11],  1040:21,Num
  A07100,Total tax credits amount,  1040:21,Num
  N07300,Number of returns with foreign tax credit,  Schedule 3:1,Num
  A07300,Foreign tax credit amount,  Schedule 3:1,Num
  N07180,Number of returns with child and dependent care credit,  Schedule 3:2,Num
  A07180,Child and dependent care credit amount,  Schedule 3:2,Num
  N07230,Number of returns with nonrefundable education credit,  Schedule 3:3,Num
  A07230,Nonrefundable education credit amount,  Schedule 3:3,Num
  N07240,Number of returns with retirement savings contribution credit,  Schedule 3:4,Num
  A07240,Retirement savings contribution credit amount,  Schedule 3:4,Num
  N07225,Number of returns with nonrefundable child and other dependent credit,  1040:19,Num
  A07225,Nonrefundable child and other dependent credit amount,  1040:19,Num
  N07260,Number of returns with residential energy tax credit,  Schedule 3:5,Num
  A07260,Residential energy tax credit amount,  Schedule 3:5,Num
  N09400,Number of returns with self-employment tax,  Schedule 2:4,Num
  A09400,Self-employment tax amount,  Schedule 2:4,Num
  N85770,Number of returns with total premium tax credit,  8962:24,Num
  A85770,Total premium tax credit amount,  8962:24,Num
  N85775,Number of returns with advance premium tax credit,  8962:25,Num
  A85775,Advance premium tax credit amount,  8962:25,Num
  N10600,Number of returns with total tax payments,  1040:33,Num
  A10600,Total tax payments amount,  1040:33,Num
  N59660,Number of returns with earned income credit,  1040:27,Num
  A59660,Earned income credit amount [12]  ,  1040:27,Num
  N59720,Number of returns with excess earned income credit,  1040:27,Num
  A59720,Excess earned income credit (refundable) amount [13]  ,  1040:27,Num
  N11070,Number of returns with refundable child tax credit or additional child tax credit,  1040:28,Num
  A11070,Refundable child tax credit or additional child tax credit amount,  1040:28,Num
  N10960,Number of returns with refundable education credit [14],  1040:29,Num
  A10960,Refundable education credit amount,  1040:29,Num
  N11560,Number of returns with net premium tax credit,  Schedule 3:8,Num
  A11560,Net premium tax credit amount,  Schedule 3:8,Num
  N11450,"Number of returns with qualified sick and family leave credit for leave taken before April 1, 2021",  Schedule 3:13b,Num
  A11450,"Qualified sick and family leave credit for leave taken before April 1, 2021 amount",  Schedule 3:13b,Num
  N11520,Number of returns with refundable child and dependent care credit, Schedule 3:13g,Num
  A11520,Refundable child and dependent care credit, Schedule 3:13g,Num
  N11530,"Number of returns with qualified sick and family leave credit for leave taken after March 31, 2021", Schedule 3:13h,Num
  A11530,"Qualified sick and family leave credit for leave taken after March 31, 2021", Schedule 3:13h,Num
  N10970,Number of returns with recovery rebate credit,  1040:30,Num
  A10970,Recovery rebate credit amount [15],  1040:30,Num
  N10971,Number of returns with economic impact payment third round,,Num
  A10971,"Economic impact payment third round amount [16, 17]",,Num
  N06500,Number of returns with income tax after credits,  1040:22,Num
  A06500,Income tax after credits amount   ,  1040:22,Num
  N10300,Number of returns with tax liability,  1040:24,Num
  A10300,Total tax liability amount [18]  ,  1040:24, Num
  N85530,Number of returns with additional Medicare tax,  8959:24, Num
  A85530,Additional Medicare tax amount,  8959:24, Num
  N85300,Number of returns with net investment income tax,  8960:17, Num
  A85300,Net investment income tax amount,  8960:17, Num
  N11901,Number of returns with tax due at time of filing,  1040:37, Num
  A11901,Tax due at time of filing amount [19]  ,  1040:37, Num
  N11900,Number of returns with total overpayments,  1040:34, Num
  A11900,Total overpayments amount,  1040:34, Num
  N11902,Number of returns with overpayments refunded,  1040:35a, Num
  A11902,Overpayments refunded amount [20]  ,  1040:35a, Num
  N12000,Number of returns with credit to next year’s estimated tax,  1040:36, Num
  A12000,Credited to next year’s estimated tax amount,  1040:36, Num
